"Currency:","NA","NA","NA","USD","USD","USD","USD","BRL","CAD","CNY","DKK","HKD","INR","JPY","KRW","MYR","MXN","NOK","SEK","ZAR","SGD","LKR","CHF","TWD","THB","VEB"
"Unique Identifier: ","H10/H10/JRXWTFB_N.M","H10/H10/JRXWTFN_N.M","H10/H10/JRXWTFO_N.M","H10/H10/RXI$US_N.M.AL","H10/H10/RXI$US_N.M.EU","H10/H10/RXI$US_N.M.NZ","H10/H10/RXI$US_N.M.UK","H10/H10/RXI_N.M.BZ","H10/H10/RXI_N.M.CA","H10/H10/RXI_N.M.CH","H10/H10/RXI_N.M.DN","H10/H10/RXI_N.M.HK","H10/H10/RXI_N.M.IN","H10/H10/RXI_N.M.JA","H10/H10/RXI_N.M.KO","H10/H10/RXI_N.M.MA","H10/H10/RXI_N.M.MX","H10/H10/RXI_N.M.NO","H10/H10/RXI_N.M.SD","H10/H10/RXI_N.M.SF","H10/H10/RXI_N.M.SI","H10/H10/RXI_N.M.SL","H10/H10/RXI_N.M.SZ","H10/H10/RXI_N.M.TA","H10/H10/RXI_N.M.TH","H10/H10/RXI_N.M.VE"
"Time Period","JRXWTFB_N.M","JRXWTFN_N.M","JRXWTFO_N.M","RXI$US_N.M.AL","RXI$US_N.M.EU","RXI$US_N.M.NZ","RXI$US_N.M.UK","RXI_N.M.BZ","RXI_N.M.CA","RXI_N.M.CH","RXI_N.M.DN","RXI_N.M.HK","RXI_N.M.IN","RXI_N.M.JA","RXI_N.M.KO","RXI_N.M.MA","RXI_N.M.MX","RXI_N.M.NO","RXI_N.M.SD","RXI_N.M.SF","RXI_N.M.SI","RXI_N.M.SL","RXI_N.M.SZ","RXI_N.M.TA","RXI_N.M.TH","RXI_N.M.VE"
2011-03,96.9215,70.7530,125.3771,1.0113,1.4020,0.7423,1.6159,1.6574,0.9766,6.5645,5.3191,7.7913,44.9143,81.6470,1119.2674,3.0341,11.9963,5.5913,6.3493,6.8976,1.2678,110.3022,0.9185,29.4930,30.3330,4.2893
2011-04,95.3200,69.4924,123.4338,1.0588,1.4460,0.7894,1.6379,1.5833,0.9580,6.5267,5.1577,7.7716,44.3010,83.1771,1083.1762,3.0101,11.7059,5.4015,6.1990,6.7209,1.2463,110.2129,0.8972,28.9824,30.0424,4.2893
2011-05,95.2786,69.5879,123.2055,1.0675,1.4335,0.7959,1.6332,1.6136,0.9680,6.4957,5.2030,7.7742,44.9024,81.1257,1084.3619,3.0127,11.6542,5.4766,6.2526,6.8556,1.2387,109.7629,0.8740,28.7262,30.2210,4.2893
2011-06,95.2534,69.5016,123.2668,1.0617,1.4403,0.8157,1.6219,1.5854,0.9766,6.4746,5.1782,7.7850,44.8109,80.4259,1080.4523,3.0269,11.8055,5.4366,6.3273,6.7859,1.2336,109.5391,0.8401,28.8118,30.4995,4.2893
2011-07,94.5947,69.0557,122.3663,1.0781,1.4275,0.8480,1.6158,1.5625,0.9553,6.4575,5.2230,7.7892,44.3960,79.2425,1057.4250,2.9924,11.6741,5.4502,6.3957,6.7871,1.2158,109.4570,0.8214,28.8350,30.0475,4.2893
2011-08,95.1377,69.0236,123.6701,1.0502,1.4333,0.8379,1.6356,1.5966,0.9817,6.4036,5.1973,7.7965,45.3135,76.9657,1073.8870,2.9824,12.2366,5.4353,6.3970,7.0871,1.2089,109.7139,0.7800,28.9674,29.8735,4.2893
2011-09,97.9789,71.1527,127.2688,1.0220,1.3747,0.8119,1.5771,1.7492,1.0025,6.3885,5.4170,7.7943,47.6905,76.7957,1121.9095,3.0838,13.0637,5.6257,6.6460,7.5769,1.2537,110.0529,0.8767,29.7395,30.4571,4.2893
2011-10,98.8873,71.5889,128.7650,1.0168,1.3732,0.7912,1.5768,1.7703,1.0198,6.3710,5.4225,7.7774,49.2020,76.6430,1150.6850,3.1336,13.4379,5.6405,6.6396,7.9540,1.2757,110.0875,0.8958,30.2590,30.8395,4.2893
2011-11,99.5200,72.2242,129.3360,1.0112,1.3558,0.7714,1.5806,1.7864,1.0248,6.3564,5.4886,7.7809,50.6785,77.5595,1133.4775,3.1521,13.6955,5.7405,6.7377,8.1493,1.2886,111.2205,0.9079,30.2215,30.9315,4.2893
2011-12,100.4518,73.2338,130.0786,1.0122,1.3155,0.7699,1.5587,1.8391,1.0235,6.3482,5.6521,7.7767,52.3824,77.7967,1148.1262,3.1590,13.7746,5.8912,6.8553,8.1933,1.2954,113.8067,0.9334,30.2505,31.1743,4.2893
2012-01,99.8197,73.3624,128.4604,1.0415,1.2910,0.8015,1.5524,1.7850,1.0130,6.3172,5.7599,7.7622,51.0015,76.9640,1140.3275,3.1092,13.3829,5.9424,6.8463,8.0025,1.2777,113.8195,0.9376,29.9900,31.5060,4.2893
2012-02,98.0939,72.2974,125.9650,1.0732,1.3238,0.8349,1.5804,1.7168,0.9967,6.2997,5.6156,7.7544,49.1812,78.4700,1122.6900,3.0220,12.7833,5.7097,6.6619,7.6388,1.2535,117.2810,0.9118,29.5340,30.6850,4.2896
2012-03,98.6939,72.9807,126.4130,1.0526,1.3208,0.8201,1.5824,1.7953,0.9938,6.3125,5.6294,7.7620,50.3635,82.4659,1126.1700,3.0444,12.7523,5.7074,6.7319,7.6071,1.2590,125.6605,0.9131,29.5158,30.7036,4.2895
2012-04,99.0136,72.8496,127.3155,1.0350,1.3160,0.8180,1.6000,1.8522,0.9928,6.3043,5.6529,7.7621,51.6900,81.2524,1135.0238,3.0586,13.0559,5.7521,6.7359,7.8329,1.2510,128.4248,0.9133,29.4433,30.8614,4.2893
